conversation_id,customer_message,true_intent,true_action,true_reason,actual_brand_reply
25c10255fd1fc922eafdad0ef9f26c72,"@AppleSupport Hi , I have the same issue with my iPhone 7.
Did you manage to fix the issue ?",General Inquiry,Auto-handle,"Standard issue, can link to docs.",Thank you for reaching out to us. Have you tried restarting the device? What iOS are you currently running?  DM us here. https://t.co/GDrqU2kzhr
ceb42088bf6d792cf7187be791755bab,this message came up when using MyFitnessPal app? I didn't click install. Can you help? Thx! https://t.co/s3Ckidcwjb,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We're here to help! Your iPhone is not infected. Follow these steps to get rid of that pop-up: https://t.co/qr0pQfKgYD
34503798d9ac96e30316794d637ee518,My iPad screen (no cracks or anything) when u turned it on it was like this. https://t.co/owilVFc58Y,Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,We're here to help. What version of iOS are you currently running? Let us know in DM. https://t.co/GDrqU22YpT
7bb3615eb26b50b21b11760f0466e0c3,"Dear @115858 - there should not be an apostrophe in plural items (that's items, not item's) please fix this! #sickofcorrectingautocorrect",General Inquiry,Auto-handle,"Standard issue, can link to docs.",Let's look into this together. Can you tell us which device we're working with?
ed2390a90e74a7e0f7bede0fa84ed61c,"@AppleSupport Hi, I’m having the same issue here. I can’t access anymore to my laptop. I have the login screen then after a blank screen",Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,"Let's look into this for you. We've received your DM, and we'll continue working with you there. https://t.co/GDrqU22YpT"
471344813c91529a93f746dcb6803e77,"Got Mac, chose not to restore from backup via CMD+R.  If I manually restore from last date stamp, will it contain prior dated files. Advise?",Account & Billing,Auto-handle,"Standard issue, can link to docs.","Time Machine makes automatic backups, so it's easy to restore your #Mac or go back in time to find individual files. https://t.co/lH7v8wI9QN"
8dc9dc92c0dccc9c9a8af1fb0d7eca15,Would love to be able to delete a group of texts messages at the same time.  It shouldn't be that difficult!,General Inquiry,Auto-handle,"Standard issue, can link to docs.",Constantly checking your emails in case you miss something important? Customize your Mail settings to choose how new emails are delivered. https://t.co/yUourck3gw
495e668584f6749fb3c3cb34d0b6d3a5,the page to reset your Apple ID is not working,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We can help. What's going on with it?
e93dffb616d6cf9027f0a41c055c7f0e,@AppleSupport just paid to upgrade my storage plan but phone still says no storage ????,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We can help! This article goes over your local iPhone storage space vs. iCloud storage: https://t.co/dREC7Rk0Qk
ecda9cd48996c7c140d2be02a0b9adde,"Is Mail in Service available for iPhone Smart Battery case, or only in store genius bar?",Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,Let's help get this looked at for you. Please DM us the country you are currently in and we can go from there. https://t.co/GDrqU22YpT
20f1f159ec726928684b12a9dc8dee4a,MacBook Air wireless goes up and down for no apparent reason.  Please fix this.,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd like to look into this with you. Are you seeing this issue in multiple locations or just using one wireless access point?
cef2734a212de3064be76db61ed967c7,Love my new MacBook Pro... Hate the fact my 6 year old Pro has better battery life than this brand new one😒 #Applefails @115858 @AppleSupport,Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,"Let's help. To maximize your battery performance, please visit: https://t.co/bivpdfBNJ6"
a0d4242acf47d172fa3cf9f237918c2c,Hi @AppleSupport - how can I sort the songs in a playlist by artist or song title (instead of def. rev chron date added)? iphone 6+ 10.3.3.,General Inquiry,Auto-handle,"Standard issue, can link to docs.",Our article https://t.co/XwiZa7ChZq can help you edit a playlist created on your iPhone. Let us know if we can help you further.
36364aff8461cc165a6e23ada73ede02,@115858 Issue is sorted after updating the latest update. New issue after latest update. Click Settings -&gt; Wifi is on for a fraction of a sec,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We'd like to look into this with you. Send us a DM and we'll get started. https://t.co/GDrqU22YpT
93eaca7a6328519b2939b6e3d873ecd6,One side of my beats solo3 is not working,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd like to help get your Beats working as they should. Let's chat in DM! https://t.co/GDrqU22YpT
42fe0d89c7bd0d61c73df9391fd62ab2,Hi @AppleSupport how can I access audiobooks not purchased on iTunes but in the #audiobooks section of my #iTunes library on my #iPhone?,General Inquiry,Auto-handle,"Standard issue, can link to docs.","We want to help you with Audiobooks.  Are these currently in your iTunes library, on your computer?"
b5be32480209f5c135356dc5cffdd760,Looks like my phone got wind of the new release for @115858's iPhone 8 and my camera decided to stop working. #itknows #nowmywatchwontpair,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We want to help. What happens when you try to use the camera? What is your iPhone model? Let us know to continue.
c0800387fd99d8508e862b146a8bc938,@115858 I can't wait!!! My iPhone 6s32gig is so broken lol 😂!! And I hate that I can't multitask with @115714 definitely switching to @ATT,Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,You are always welcome to use your iphone's wifi calling capabilities..
214078ddfbfddf6be54a37746ecc259c,"have noticed a number of songs I have previously downloaded don't appear in my library anymore, how do I get them back?",Software/OS Update,Auto-handle,"Standard issue, can link to docs.","Happy to help! Were these songs purchases from iTunes, songs you've imported for other sources or from Apple Music Subscription?"
37e1d6163675dff4585eccab7b5c22ff,"how long is it safe to charge a mac,iphone,ipad,or ipod  for without lowering  the performance of the device or damaging it?",Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,"Thanks for reaching out! You can find all of our battery information here:
https://t.co/bivpdfBNJ6"
ebe5baa855f8952f0a9b2e6119a13f34,"iOS 11 with a lot of issues, both for my wife and I we are experiencing problems",Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We're happy to assist you.  DM us with your device model and exact iOS version and we'll go from there. https://t.co/GDrqU22YpT
e50ca8e61df1a3329d349221f3485178,Got one. Thing sucks. Very poor connection. Doesn’t work inside stores. Spotty connection everywhere else.,Account & Billing,Auto-handle,"Standard issue, can link to docs.",We'd like to help with your new Apple Watch. Please DM us which watchOS version you have and we'll help there. https://t.co/GDrqU22YpT
38381a1f84792155e8481ae6ef1520f9,"Hey @115858, great announcement today. Meanwhile your product quality gets worse. Podcast app needs constant babysitting. #FixYourStuffApple",General Inquiry,Auto-handle,"Standard issue, can link to docs.","We'd like to look into the Maps issue you experienced the other day. If you're interested, DM us some specifics to start. https://t.co/GDrqU22YpT"
e27dec4592c58490293f44a8fb7f83e4,Cannot seem to order the X is there a problem?,General Inquiry,Auto-handle,"Standard issue, can link to docs.",Thanks for reaching out. We're here to help. DM us letting us know your current country so we can look into this further with you. https://t.co/GDrqU22YpT
c376420caa27e538a6d50dbefd3d8214,Where are my Apps located in @118721 12.7? #Windows #iPhone,General Inquiry,Auto-handle,"Standard issue, can link to docs.",Great question! Check out this article: https://t.co/pxseZbMQ8z
5e12d55b03efde6fdad0f190f3e457e2,bought iPhone SE from Maple (so no duplicate issues)  within 10 days the touch started acting up. @11930 @115858 want a brand new phone,General Inquiry,Auto-handle,"Standard issue, can link to docs.",Thanks for reaching out. Let's look into this together. Send us a DM with more details about your issue. We'll help you there. https://t.co/GDrqU22YpT
1466fed70b6d11222cb538673c43ec3a,never expected such things from Apple ! I am wasting my time and money going there. And you are spoiling your brand image.,Account & Billing,Auto-handle,"Standard issue, can link to docs.",Good morning. Thank you for contacting us. We're happy to help. Can you reach out to us in DM and we'll go into detail? https://t.co/GDrqU22YpT
7abc2fcd1e9210ab5078534aaee0352c,How convenient now my iPhone starts to fuck up @AppleSupport,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We don't want that to happen! Let's help. Provide us more details on what's not working with your iPhone and we'll get started.
e1351ef1001f6bd683b5d7cbca325660,Very irritating and I would like it sorted asap! Please :-),General Inquiry,Auto-handle,"Standard issue, can link to docs.","We can help. While there's no way for Apple to expedite the process, ensure you've gone through: https://t.co/fJnZYmbI9N"
de5273d9769834b99c6f24db401e76e7,@AppleSupport  @115858 amazing 3 week investigation and no help from Apple keep using a product that burns you.  Dangerous product,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We want to help. Send us a DM and we can continue working with you frmo there. https://t.co/GDrqU22YpT
532aed457280ca7290cd6ed93678efb9,£226 for replacement screen on a £399 watch - Are you for real?,Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,Hey there! That is the out-of-warranty cost for a screen replacement. This link has more info: https://t.co/V5eJv51L4d
f62d35dbdfc450bb9e5f3d71287d8cb6,@115858 please restore Books tab on itunes. How can you remove that? It's the MAIN reason I use itunes and have apple devices,Account & Billing,Auto-handle,"Standard issue, can link to docs.",We want to help you manage your books. Books are now managed through iBooks on your iOS devices: https://t.co/pxseZbMQ8z
607cf0880d590611efcc50470e11a269,iOS11 is lagging too much! Please fix this!🙏🏻,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","Do you have an up-to-date #iPhone backup? 

Here's how to check before you update to #iOS11 tomorrow. https://t.co/m0zqxY34pT"
5ce7649a2f9836adf9b569327d973820,"Hey, this new version of iTunes is missing stuff. Like an easy way to manage apps and ringtones. Restore the functionality please.",Account & Billing,Auto-handle,"Standard issue, can link to docs.",We might be able to help! Take a look at this article for tips on how to manage apps and ringtones: https://t.co/pxseZbMQ8z
3f2db5c6bf8a8cae8df553e20181ce8b,"Worst #customerservice ever @applesupport - Up to 4th Senior Advisor - no follow up, no call back, no resolution, now a hangup @116333",General Inquiry,Auto-handle,"Standard issue, can link to docs.",We always want the best support experience for our customers. Could you Direct Message us so we can get more information? https://t.co/GDrqU22YpT
4697ab782cc66764e6f0557602e31559,"My invited HomeKit user can’t access home remotely with iOS 11. Its been a problem during the betas, and now the final release",Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We'll be glad to assist you. Have you tried these steps? https://t.co/8w56ZkfySD
a89ea3d2d8f463e02840edb8768ad400,@AppleSupport With iOS 11.1 my iPhone 6s is somewhat laggy and apps often show ‘no internet’. I doubt it’s the 70 new emojis’ fault.,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We want to help narrow this down.  When do you notice this happening? Does it happen with all Wi-Fi connections?
fe4fa777a993e61f44b93df6fac470cf,@46074 If I search the one comes is UPDATEY-UPDATES $NEWS isn't the one,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","Get the latest features on your iPhone and iPad with #iOS11. 

Here's a look at what's new.

https://t.co/TatEanwPyW"
a48a794b9d6e47f6797ba8483ea30871,Hi. Can the faded grey and white passcode screen be changed to a sharper or darker view in IOS 11.?,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",Let's help. Please contact us via DM and we can go from there. https://t.co/GDrqU22YpT
986151eeec4c23655b1b314f986c05db,"Hello @AppleSupport is there a bug for this #iOS11 ? Toggle from airplane mode turns on WiFi and Bluetooth

 https://t.co/wVlfwalG6l",Software/OS Update,Auto-handle,"Standard issue, can link to docs.",Thanks for reaching out. Please DM us which device is having the issue. We'll start there https://t.co/GDrqU22YpT
fb04a94f138228119deaa81246f48189,Twitter does not work on Apple Watch #WatchOs4 #iOS11,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We’re glad you reached out! What kind of issue are you having with Twitter on the Apple Watch? Does the app not open?
56a9f831c00cfa2358a45cf30bd5d127,Whenever i try to download a game thats called roblox it crashes please fix please reply.,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","We’ll be glad to see how we can help. To clarify, the App Store crashes when you try to download the game?"
54aacabd318a48864a6d765d1a1fbf7f,This update is awful! My phone is unusable,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",Say hello to the all-new App Store in iOS 11. With expert recommendations and daily picks to help you find your new favorite apps and games. https://t.co/YrJsfJLtoa
fd0f9b0189073e7732619cf23c7e81e9,@AppleSupport Was this resolved I have the same issue,General Inquiry,Auto-handle,"Standard issue, can link to docs.","Let's look into this together. What's the exact issue you're seeing, and the version number of iOS 11 installed on your iPad?"
45bc1c752296b75fe232de41dd4b7e1a,"@AppleSupport They are pretty much unusable. Also will work for phone, but not podcast.. Went from a 10 to zero fast! Please help @AppleSupport @116333",General Inquiry,Auto-handle,"Standard issue, can link to docs.",We are here to help! Let's start with the iOS version on the iPhone. This can be found by going to Settings &gt; General &gt; About.
f91412e7eb49add6d790d3be235ace6b,When @115948’s radio doesn’t work on your Mac anymore. 🙃 @AppleSupport,General Inquiry,Auto-handle,"Standard issue, can link to docs.","We want you to be able to enjoy iTunes, and we'll do all we can to help. How exactly is Apple Music Radio not working?"
536a1197d945af4daa03f40f6916e664,"figured out i could hold sleep/wake button and side volume button to bypass the slide to restart. thank god im a genius,",Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,"We've received your DM, and we'll continue with you there. Be on the lookout for a reply."
0d44b9e26ecbd2d70435021f6acd2d20,#TouchID fails multiple times now I’m using #iOS11. My fingerprint hasn’t changed so I can only think #Apple is using #PlannedObsolescence.,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We'd like to look into this with you. Send us a DM including the device you're using. We'll go from there. https://t.co/GDrqU22YpT
aba1d2aaa33600d32b9922177c886e2f,Tryin to #update my @115858 watch for more than 4 hrs ant still not runnin!!!! 😒😔😪,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","Hey there. Are you running into an issue updating your Apple Watch? If so, let us know what's going on. We're here for you."
6e71eaf975b2b4a333666248bd61bd1b,@AppleSupport I’ve got the same thing happening.,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We want to help out with your iPhone.  Can you describe the exact behavior you are experiencing?
493611278a8baecef7822f775528c8fe,I’m missing several thousand photos after upgrading to iOS 11. Years worth of content. I sure hope you have a solution.,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",Absolutely! Where do you make iPhone backups? Do you use iCloud Photo Library? DM us. https://t.co/GDrqU22YpT
12b83c002858b6e2a02f9e09c8a00652,can’t find my subscription button in my account settings. Help! 😵,Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,We can help with this. Can you tell us what device you're using and the type of subscription you're looking for?
45771a7abaaeb97ae43e6c3323eb2ab8,Wtf apple I got the new update and that on the phone with your workers for 2 hours and my phone is still not fixed and i have no answer https://t.co/6bQGdamFFw,Software/OS Update,Escalate,Customer expressing high frustration.,We'd like to look into this with you. Please DM us more about what's happening with your iPhone. https://t.co/GDrqU22YpT
a0943dd63e42e9e441bab11ef905ab3d,"Why does my 7P start blacking out and Siri doesn’t understand anything anymore, now that the 8 has been released? Do you hate me?",General Inquiry,Escalate,Customer expressing high frustration.,We'd like to work with you. Let's take a look at this together in DM. https://t.co/GDrqU22YpT
58df13ca1891abb2630d53dd35b8d16a,I can’t use my Apple Watch 2 since I download the IOS 11 on iPhone7. Bluetooth drain battery. I just download the IOS11.02. No improvement,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",Away from your phone? Apple Watch Series 3 with cellular keeps you connected. See which networks support it here. https://t.co/qqQfqYL5qb
c6ccd2d965cda41ab8b44278d2bb5e4b,Could you please tell me how to sync my iPod 6 geneartion to load my Nike+ runs. no money to buy new gadgets,Account & Billing,Auto-handle,"Standard issue, can link to docs.",We’d be glad to help use your iPod. Please reach out to us via DM and we'll continue there. https://t.co/GDrqU22YpT
d56f8723858e75b213f04efa16527108,"@115858 @116333 
helpless and couldn't give me a solution. How do I trust now?
Case ID: 100299060373",General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd like to look into this. DM us and we'll go from there. https://t.co/GDrqU22YpT
36f85d9f28a022c796b01d2cbb21cdef,"downloaded ios11, my screen is auto dimming, how do i change this? As the turn off button has gone? #hateit #help",Software/OS Update,Escalate,Customer expressing high frustration.,"We’d like to help. To turn off Auto-Brightness in iOS 11, go to Settings &gt; General &gt; Accessibility &gt; Display Accommodations."
c822efb092ad4b1ecc099d39862f366f,App Store and iTunes will not load after updating to iOS 11?!?! Please help,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","We're here to help.  To better assist, what error or message do you receive when attempting the access those stores?"
6b41e9e07112b161854983aa0cfd0362,Ayo.. iOS 11.2 won’t let me send or save anything. Fix that,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",Thanks for reaching out to us. We are always happy to help. Send us a DM with more details about your issue. We'll help there. https://t.co/GDrqU22YpT
c8e16c901b82cce90d53613a6e7fb95c,"hi there, @AppleSupport , already update to ios11 but i get problem with random freeze in my 6s, please fixed it in the next update.thankyou",Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We'll be glad to help you with what you're experiencing. Have you tried powering off and restarting? https://t.co/n9BF3L9h6y
88079312fc164ac3cb2bf96f02035f55,I have restarted my device many times since and the issue is still present. I'm not the only one seeing this: https://t.co/4GzXPn46ES,General Inquiry,Auto-handle,"Standard issue, can link to docs.","Have you already updated to our latest release, iOS 11.0.2? https://t.co/ahjigcvFRG Let us know in DM. https://t.co/GDrqU22YpT"
052fd2df14cb12bb69b83cdda932cb6e,"Hey, @AppleSupport, my iPhone 7 keeps respringing when trying to setup for the first time. Trying over both WiFi and iTunes, same problem.",General Inquiry,Auto-handle,"Standard issue, can link to docs.",We definitely want to get this corrected for you! What are you seeing on the screen when this happens? Do you get an error?
aa17f8f5f85c7e5cac695d0be14e88bb,@AppleSupport @116333 Any update on the wishlist? I had 60+ apps (can't remember them all!) in there and also want to add new ones.,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","With iOS 11 the App Store has been updated, some items have been added and some removed. Find out more here: https://t.co/oWUHlNlygh"
091c6beeb02274d6d28bede0a3484951,"@AppleSupport Two month old phone, the difference between doing the same thing on iOS 10 versus 11 is awful",Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We're here to help. DM us which model iPhone you're using and if you've updated to 11.0.2 and we'll get started. https://t.co/GDrqU22YpT
99bf09e4ffe4c24d0ea6507032667bed,Is it normal for the touch of ios 11 to be so accurate with the touch? 10 was not like that. 🤔,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","Hi there, just to make sure we're on the same page. Are you experiencing an issue with the response of the touch screen?"
c7ff83e7c4eaacc187ce14d850a66139,I have lost count of my phone crashes/lock ups... What type of pos did you rollout?... Forget what testing is? #wtf https://t.co/TRIlL2YAhJ,General Inquiry,Escalate,Customer expressing high frustration.,We'd like to help however we can. Send us a DM and let us know if the issues happens when using certain apps or services. https://t.co/GDrqU22YpT
1236c5ad2d1f1df7478deb2bfb93909c,"Did you even test iOS 11 before releasing it? Phone freezes all the time, carplay barely works, battery drains.  #ios11update #brick",Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We're here to assist.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT
03f150028b656485c108791e9b212f64,@AppleSupport Did you find out the problem!? I’m facing the same issue and seems to be intermittent,General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd love to look into this with you. Which iPhone and version of iOS 11 are you using? Have you restarted your device?
50bfad39c864abc3bf9370e5a640ca23,"@AppleSupport Omg, mine is like this too 😩 Did you get it fixed? How?",General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd love to help figure this out with you. Does a restart of your phone and camera app help? Which iOS version are you running?
6c7c42db3672dbf57a07030bd2cbf2f5,@118936 @AppleSupport #reachability not work after update #IOS11.0.2,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","Hi there. Please send us a few details in DM, we'll meet you there to help out. https://t.co/GDrqU22YpT"
baad623e8879052c5d6b8bab2e242ad4,"@AppleSupport Came across bug again this morning, I paid around $1500(92000 INR) without thinking twice guys, respect the people's effort. https://t.co/S8X3bY2r8Q",General Inquiry,Auto-handle,"Standard issue, can link to docs.",We'd like to know more about what you are seeing. Could you join us in DM with more details? https://t.co/GDrqU22YpT
6cef25fd3cdc1810542564faeb07583b,@AppleSupport iOS11 is very heavy on the iPhone 6 battery. Battery drains out quickly as compared to previous OS. Pls look into it,Software/OS Update,Auto-handle,"Standard issue, can link to docs.","We're happy to help. Try these tips for battery life, and let us know if you still have an issue: https://t.co/TpjqFp3jxD"
cf57812607c4e5f0f1c7513e8cc450c0,@AppleSupport Experiencing same issue. What is “AID UPS”? Have to do a hard reset of my phone every day for it to start drawing from the battery case.,Hardware/Device Issue,Escalate,Hardware issue likely needs Genius Bar appointment.,We'd be happy to help with these issues. DM us which model iPhone you have and will continue support with you there. https://t.co/GDrqU22YpT
7bf3c18bf8b2baaa03923894717617f1,"Ios11 is terrible! My new iPhone keeps crashing, even after the 11.0.2 update. How can you not get the software 1st time right!",Software/OS Update,Escalate,Customer expressing high frustration.,That's not the experience we want you to have. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT
d986ac276e0b3f27409d05a64c1442bb,@271975 @10878 @AppleSupport is there a known issue with iOS 11 and certain cars?  We are having problems accessing the phonebook in our Acura.,Software/OS Update,Auto-handle,"Standard issue, can link to docs.",We'd like to ensure we're on the same page to help. Send us a DM using the link below and we'll continue. https://t.co/GDrqU22YpT
